company_key,combo_score,z_combo,z_mom,z_growth,z_value,mom_12_1,rev_qoq_growth,rev_yoy_growth,eps_qoq_growth,eps_yoy_growth,z_rev_qoq_growth,z_rev_yoy_growth,z_eps_qoq_growth,z_eps_yoy_growth,earnings_yield,book_to_price,fcf_yield,z_earnings_yield,z_book_to_price,z_fcf_yield,mktcap,weight
COHR,1.2210279290862105,0.440102865362155,4.381439917503116,0.1872609394343087,-0.9056170696787925,2.830735312799478,0.06592414969728932,0.1749286418780691,-0.361344537815126,0.7272727272727273,0.33681023432661555,0.443505104084102,-0.3023792091127758,0.27110762843929304,0.003141231035249544,0.14170372915894175,0.0021625995514063926,-1.6071989378353697,-0.6258432545412668,-0.48380901665974124,60281040896,0.022200514326810774
EQT,1.211753231868735,0.42446943224622896,0.2564119600424788,2.1907944427074977,1.1880532928562288,0.38577027059721525,0.494686066427485,0.49539083723993493,1.1851851851851851,4.8999999999999995,3.634870353540216,2.4342270450390084,0.6436251042445909,2.0504552680061754,0.08987040148882902,0.6490620696109983,0.06824864647733449,1.806801539935546,1.2495396239084262,0.5078187147247147,36678029312,0.022122347161231147
WBD,1.1743534970496983,0.361428425177545,3.2914899329278775,-0.6350590502933702,0.8666296085145877,2.184705846449908,0.04588170259812041,-0.05654732222997905,-1.0952380952380953,-2.2,0.1826426348035161,-0.9944313739870221,-0.751298140667751,-0.9771493213222239,0.010812826087802744,0.5400074510228092,0.23824760126251168,-1.3052148529224412,0.8464336764750505,3.0586700019911537,67231526912,0.021807142125887722
APA,1.1001023497615867,0.23627066339937458,2.5135588424892643,-0.7189258362888253,1.505674043084321,1.7236145905895297,-0.058628841607564985,-0.26585545722713866,0.38596491228070184,-0.17708333333333326,-0.6212581885501051,-2.294660551686715,0.15474615530107885,-0.11453076021956066,0.10382513604467139,0.4491802819199187,0.14438180758627714,2.356114650987514,0.5107030808533315,1.6502043974121174,13581177856,0.021181353316996873
KEY,0.9224565300415876,-0.06316919709370808,0.2772333251866237,1.1094766402970864,1.3806596246410525,0.39811140147762303,0.05103148751357223,0.7763653066198388,0.023255813953488413,0.33333333333333326,0.22225506209580995,4.179649903454892,-0.06712114308219068,0.10312273871983421,0.0743952521545237,0.7340483943425422,,1.1976389370351492,1.5636803122469558,,23822589952,0.019684154014531458
VTRS,0.9083262817742845,-0.08698714888431529,0.858458832833785,0.046917449100588586,1.81960256338848,0.7426123509229177,-0.014973802494747224,0.04974348799637207,1.727272727272727,-0.3023255813953488,-0.2854612395144153,-0.33414928423681683,0.9752172782619308,-0.16793695810834433,,0.862862873745818,0.14099461002421962,,2.0398259669218533,1.5993791598551066,17245073408,0.019565064255578423
LRCX,0.871047437972435,-0.14982438200898843,2.9910601438155378,0.3807156300848788,-0.7586334599831118,2.006636669806545,0.09293104257958817,0.2375575058128141,0.1507936507936507,0.40776699029126195,0.5445487318084994,0.8325577142716827,0.010893098721707276,0.13486297553762586,0.02042625342231663,0.031252168119163266,0.013413046589569096,-0.9267926295643503,-1.03411281464642,-0.31499493573856535,324485677056,0.019250878089955056
GEV,0.8633666643019717,-0.1627710969949507,2.013720378747144,1.0956882725196202,-0.5193086583608488,1.4273529450442513,-0.14768163563344283,0.16259960159362552,0.30246452576549676,12.329166666666666,-1.306257151893453,0.36691669097208407,0.10366939639007314,5.218424154609776,0.030574080645802856,0.046248538257137706,0.030946019561859966,-0.5273343295698664,-0.9786807195110704,-0.05191092600160963,301028212736,0.019186144515025247
GLW,0.861484739698266,-0.16594326981433005,3.199782170128923,0.2509050884362626,-0.8662330394703875,2.1303492999114813,0.028048780487804903,0.2039417309340188,0.24,0.7222222222222223,0.045470822368309655,0.6237353895732797,0.06546016579646854,0.26895397600699233,0.010892209173113584,0.0820010755261066,0.0044102436636529315,-1.302090023182219,-0.8465262028520608,-0.4500828923768828,144323084288,0.01917028365092835
BAX,0.8568311488954822,-0.17378736422068217,-1.144107972891676,1.5139322725172617,2.200669147060861,-0.44433859466230996,0.049029982363315794,0.08027606247729757,9.165142857142888,1.19,0.20685937498627782,-0.1444799041578862,5.524924354953967,0.46842526428668807,,0.6445646313979807,0.24556197130358703,,1.2329154394827526,3.168422854638969,9545508864,0.01913106317889659
