permno,mcap,mom_12_1,z_mom,z_growth,z_value,combo,weight,asof
23473,18978.988699999998,-0.10882830717457581,-0.19195064211066595,0.4225252484497063,1.5675623206147327,0.5993789756512576,0.015513284987653912,2023-02-28
85792,23241.759959990002,0.3904210585632575,1.8887500187965394,0.24391593092813565,-0.38271862070104873,0.5833157763412088,0.01527620383906928,2023-02-28
81696,3339.90097,-0.5528666364167449,-2.042550579792867,0.062461943379556184,3.7223106375371926,0.5807406670412939,0.015238197097151256,2023-02-28
22517,19941.873460000003,0.016253795675015725,0.3293487964618319,0.9354703475659083,0.41557302140520597,0.560130721810982,0.01493400928293345,2023-02-28
42585,15770.841709999999,0.16040792968717388,0.9301339401110863,0.5024640809565069,0.21949597244910543,0.5506979978388995,0.014794789131927534,2023-02-28
90386,18110.184390000002,0.10978303475294582,0.7191466868927817,-0.1502747224173026,1.0818811511017465,0.5502510385257419,0.014788192337273577,2023-02-28
19166,16158.08439889,0.15197061314900173,0.8949700895345052,0.7584720571751987,-0.006492091082743188,0.5489833518756536,0.014769482203554429,2023-02-28
24328,11499.087599999999,0.4537902859622811,2.375468808145364,0.9898102616185606,3.34691519866198,2.237398089475301,0.04168202973976079,2023-03-31
85269,51812.683311509994,0.5327526755370748,2.7681337342100294,0.6125774819238442,1.8958381244748057,1.758849780202893,0.03407350569595211,2023-03-31
12872,60073.10201,0.5327526755370748,2.7681337342100294,0.6706122406013888,1.6493805477926233,1.6960421742013472,0.03307491648115917,2023-03-31
54148,13147.79316,0.11735735183099805,0.7024518956917772,0.8940635305287468,2.1349054852338267,1.2438069704847836,0.025884749147445887,2023-03-31
91103,14512.62825,0.17027184941502949,0.9655856153457635,0.19487921977776496,2.4072476734222836,1.189237502848604,0.02501713954874314,2023-03-31
85663,27449.9142936,0.4613831857654822,2.413226852904335,0.4682631359382877,0.5021751690360711,1.1278883859595645,0.024041739109806514,2023-03-31
70519,91140.65568000001,-0.1085527078731291,-0.4209558097825025,1.1497358373976898,2.5996458595794754,1.1094752957315543,0.02374898613794117,2023-03-31
16431,15037.39692,0.5327526755370748,2.7681337342100294,1.0182139919706983,-0.5630047585266631,1.0744476558846883,0.023192075508838842,2023-03-31
11850,446424.2151,0.4510026487275145,2.3616064190436776,0.010624555609763886,0.5972883907331348,0.989839788462192,0.02184688008947106,2023-03-31
17307,32739.878499999995,0.2601034058066445,1.4123008381085678,1.1172250760825713,0.3793191705024506,0.9696150282311966,0.021525323056427195,2023-03-31
91611,23234.4375,0.5327526755370748,2.7681337342100294,0.8097118159742854,-0.7186432090011734,0.9530674470610472,0.021262230142377655,2023-03-31
84262,19239.4202,0.5327526755370748,2.7681337342100294,-0.579285498024313,0.6698884063172074,0.9529122141676413,0.021259762067203248,2023-03-31
22623,25434.0,0.5327526755370748,2.7681337342100294,0.4942019923181367,-0.46050682246833086,0.9339429680199451,0.02095816667419662,2023-03-31
32986,16085.794679999999,0.05278412216383588,0.3813415216320378,2.039902013657522,0.3425845771155131,0.9212760374683576,0.0207567729093549,2023-03-31
13688,32142.483450000003,0.3737920638949461,1.9776528843552077,-0.0190304683701815,0.7905778602228986,0.9164000920693084,0.020679249392739893,2023-03-31
20057,11738.55488,0.0702033415886556,0.46796398258317456,-1.1337722826101146,3.414715653140169,0.9163024510377428,0.020677696980743163,2023-03-31
13356,47030.891659999994,0.2664628733568599,1.4439252591634888,0.134683505682961,1.156782343292083,0.9117970360461776,0.020606064592483805,2023-03-31
77274,103546.56,0.39349958195197043,2.075654618629594,0.758807404662645,-0.10176235550456379,0.9108998892625583,0.020591800697404183,2023-03-31
90829,14191.222319999999,0.07520422506466895,0.492832423760563,0.38404239722477834,1.8469730972133067,0.9079493060662159,0.020544888854320334,2023-03-31
76082,18853.07586,0.1626444498960704,0.92765601007032,-0.17950500460367746,1.9755577652933844,0.9079029235866756,0.020544151411090558,2023-03-31
34833,56191.49496,0.350783676986133,1.8632365578855192,-0.20767947967392858,0.9994998322952239,0.8850189701689382,0.020180315396162454,2023-03-31
92322,27389.9046461,0.3853139227003375,2.0349488940163787,0.9842179717542643,-0.4389943970401817,0.8600574895768204,0.019783448409957972,2023-03-31
86868,109720.21417577,0.05758207936205273,0.40520084907443643,0.7759650521501582,1.3758909747728805,0.8523522919991583,0.019660942113527684,2023-03-31
60506,38251.392,0.2309824312232862,1.2674877771908222,0.7405721818169491,0.54515268724654,0.8510708820847704,0.01964056875110077,2023-03-31
12369,51155.28516,-0.16662871214340624,-0.7097567192499025,0.4414394638494445,2.6308448407857967,0.7875091951284463,0.018629990270095327,2023-03-31
38762,11533.72368,-0.019138627624685767,0.023683383622844285,1.761282792501091,0.5713462835927597,0.7854374865722317,0.01859705181005628,2023-03-31
85792,23996.326639999996,0.4849178837253909,2.5302604240024893,0.2416686096959406,-0.41715738389980633,0.7849238832662079,0.018588885940431114,2023-03-31
80191,25905.444748019996,0.30732978997950866,1.6471486529910448,0.06286127577128253,0.6435165529967073,0.7845088272530116,0.01858228689161046,2023-03-31
64390,83738.74040000001,0.35935168246748805,1.905843617486612,0.8223159029730277,-0.43375498619570135,0.7648015114213127,0.01826895679841174,2023-03-31
46674,23558.41917,0.48428189454808623,2.527097770939062,0.10334489746814879,-0.3564263238234633,0.7580054481945826,0.018160904989509858,2023-03-31
28484,40519.8612,0.3504567603575701,1.8616108637484092,0.5166275037443311,-0.10490445881226,0.7577779695601601,0.01815728826654601,2023-03-31
23473,17618.976,0.008100463744979969,0.1591381976974271,0.4036351335977972,1.6901446356771568,0.7509726556574604,0.018049089379513935,2023-03-31
13323,28808.78056,0.2629261727444654,1.426337920533579,1.5693987549057005,-0.7892311871386974,0.7355018294335274,0.017803115982426086,2023-03-31
21792,18553.58394,0.04143297959177028,0.3248944512886596,1.7169930976866556,0.11572823843929521,0.7192052624715369,0.017544013987581798,2023-03-31
13210,17245.722,0.4808673863685633,2.5101180720079705,0.13873526939067016,-0.4927510165062552,0.7187007749641285,0.017535993051647967,2023-03-31
21020,9629.0655,-0.0736222683108736,-0.24725338585664777,0.23286189475684638,2.147506837931566,0.7110384489439214,0.017414168377677463,2023-03-31
69032,147674.332,0.10148878562991626,0.623540537921912,0.6924163988146542,0.8082928249037621,0.7080832538801095,0.017367183209698614,2023-03-31
41080,33771.66,0.22326653691976261,1.2291181042043422,0.7692399482193554,0.02974097387871526,0.676033008767471,0.016857610705053823,2023-03-31
